2023-11-28 17:10:16,811 INFO    StreamThr :23747 [internal.py:wandb_internal():86] W&B internal server running at pid: 23747, started at: 2023-11-28 17:10:16.810236
2023-11-28 17:10:16,811 DEBUG   HandlerThread:23747 [handler.py:handle_request():146] handle_request: status
2023-11-28 17:10:16,814 INFO    WriterThread:23747 [datastore.py:open_for_write():85] open: /Users/jakesansom/Desktop/CompilersProject/wandb/run-20231128_171016-o0h5m34z/run-o0h5m34z.wandb
2023-11-28 17:10:16,814 DEBUG   SenderThread:23747 [sender.py:send():380] send: header
2023-11-28 17:10:16,881 DEBUG   SenderThread:23747 [sender.py:send():380] send: run
2023-11-28 17:10:17,266 INFO    SenderThread:23747 [dir_watcher.py:__init__():211] watching files in: /Users/jakesansom/Desktop/CompilersProject/wandb/run-20231128_171016-o0h5m34z/files
2023-11-28 17:10:17,266 INFO    SenderThread:23747 [sender.py:_start_run_threads():1124] run started: o0h5m34z with start time 1701209416.810766
2023-11-28 17:10:17,284 DEBUG   HandlerThread:23747 [handler.py:handle_request():146] handle_request: check_version
2023-11-28 17:10:17,284 DEBUG   SenderThread:23747 [sender.py:send_request():407] send_request: check_version
2023-11-28 17:10:17,377 DEBUG   HandlerThread:23747 [handler.py:handle_request():146] handle_request: run_start
2023-11-28 17:10:17,407 DEBUG   HandlerThread:23747 [system_info.py:__init__():32] System info init
2023-11-28 17:10:17,408 DEBUG   HandlerThread:23747 [system_info.py:__init__():47] System info init done
2023-11-28 17:10:17,408 INFO    HandlerThread:23747 [system_monitor.py:start():194] Starting system monitor
2023-11-28 17:10:17,408 INFO    SystemMonitor:23747 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-28 17:10:17,408 INFO    HandlerThread:23747 [system_monitor.py:probe():214] Collecting system info
2023-11-28 17:10:17,409 INFO    SystemMonitor:23747 [interfaces.py:start():190] Started cpu monitoring
2023-11-28 17:10:17,409 DEBUG   HandlerThread:23747 [system_info.py:probe():196] Probing system
2023-11-28 17:10:17,409 INFO    SystemMonitor:23747 [interfaces.py:start():190] Started disk monitoring
2023-11-28 17:10:17,411 INFO    SystemMonitor:23747 [interfaces.py:start():190] Started memory monitoring
2023-11-28 17:10:17,411 INFO    SystemMonitor:23747 [interfaces.py:start():190] Started network monitoring
2023-11-28 17:10:17,432 DEBUG   HandlerThread:23747 [system_info.py:_probe_git():181] Probing git
2023-11-28 17:10:17,543 DEBUG   HandlerThread:23747 [system_info.py:_probe_git():189] Probing git done
2023-11-28 17:10:17,543 DEBUG   HandlerThread:23747 [system_info.py:probe():244] Probing system done
